Nummer;Omschrijving;Brutoprijs;BTW Code;Omzetgroep;Voorraad;Barcode;"Inkoopprijs 
(optioneel)";"Leveranciers Nr. 
(optioneel)";"Art. Nr. Leverancier
(optioneel)";"Merk 
(optioneel)"
10;"Schoen 5""";2;2;2;20;8,71441E+12;€ 0,49;;;
11;"Schoen 8""";2,5;2;2;10;8,71441E+12;€ 0,99;;;
12;Kauwrol Druivensuiker;€ 1,50;2;2;100;8,71441E+12;€ 0,49;;;
13;Kabeljauwsticks;€ 1,50;1;2;70;8,71441E+12;€ 0,49;;;
14;Scholsticks;€ 1,50;1;2;70;8,71441E+12;€ 0,49;;;
15;Cerea Brush Mini 9 cm;€ 0,50;2;2;100;8,71441E+12;€ 0,00;;;
16;"3½"" Donut White";€ 5,00;2;2;12;8,71441E+12;€ 2,25;;;
17;"3½"" Donut Barbecue";€ 3,00;2;2;12;8,71441E+12;€ 0,99;;;
18;"6½"" Ring White";€ 10,00;2;2;1;8,71441E+12;€ 5,99;;;
19;"6½"" Ring Yellow";€ 10,00;2;2;1;8,71441E+12;€ 3,99;;;
20;"6½"" Ring Barbecue";€ 10,00;2;2;1;8,71441E+12;€ 3,99;;;
21;Insecta Nibbles Meelworm & Pompoen;€ 3,99;2;2;12;8,71441E+12;€ 1,59;;;
22;Insecta Nibbles Zwarte Soldatenvlieg & Appe;€ 3,99;2;2;12;8,71441E+12;€ 1,59;;;
23;Insecta Nibbles Krekel & Zoete Aardappel;€ 3,99;2;2;12;8,71441E+12;€ 1,59;;;
24;Insecta Nibbles Zijderups & Wortel;€ 3,99;2;2;12;8,71441E+12;€ 1,59;;;
25;Capelin (Lodde) 90 gr;€ 4,99;2;2;15;8,71441E+12;€ 1,99;;;
26;Festive Mix 200 gr;€ 3,00;2;2;25;8,71441E+12;€ 1,50;;;
27;Smulletter H;€ 4,00;2;2;24;8,71441E+12;€ 1,50;;;
28;Strooi Box 900 gr;€ 7,99;2;2;6;8,71441E+12;€ 3,19;;;
29;Antos Adventskalender 225 gr;9.95;2;2;10;8,71441E+12;€ 5,00;;;
30;"Christmas Candy Cane 18""";€ 9,95;2;2;10;8,71441E+12;€ 4,50;;;
31;Christmas Gift Box;€ 9,95;2;2;8;8,71441E+12;€ 5,00;;;
32;Gingerbread House;€ 9,95;2;2;12;8,71441E+12;€ 4,50;;;
33;Jolly Holiday Trees;€ 1,00;2;2;140;8,71441E+12;€ 0,59;;;
34;Dog Ice Lollies;€ 2,50;2;2;36;8,71441E+12;€ 1,25;;;
35;Dog Ice Lollies Refill;€ 4,00;2;2;21;8,71441E+12;€ 1,49;;;
36;Fish D'light Beams;€ 3,99;2;2;20;8,71441E+12;€ 1,59;;;
37;Fish D'light Bites;€ 3,99;2;2;20;8,71441E+12;€ 1,59;;;
38;Fish D'light Twists;€ 3,99;2;2;20;8,71441E+12;€ 1,59;;;
39;Fish D'light Beams 400 gr;€ 11,99;2;2;12;8,71441E+12;€ 4,99;;;
40;Fish D'light Skin Lang;€ 6,99;2;2;10;8,71441E+12;€ 2,75;;;
41;fish d'light squares;€ 3,99;2;2;2;8,71441E+12;€ 1,59;;;
42;Premium Fish Treats;€ 3,99;2;2;15;8,71441E+12;€ 1,59;;;
43;"Roll Sticks 5""";€ 9,95;2;2;40;8,71441E+12;€ 3,75;;;
44;zakje K17 Peopernoten;€ 3,00;2;2;125;8,71441E+12;€ 0,15;;;
45;KROEPOEK;€ 1,00;2;2;266;8,71441E+12;€ 0,34;;;
46;Santa & Snowman;€ 1,50;2;2;40;8,71441E+12;€ 0,69;;;
47;O Christmas Tree;9.95;2;2;12;8,71441E+12;€ 4,99;;;
48;Christmas Cookies;€ 3,99;2;2;12;8,71441E+12;€ 1,59;;;
49;KERSTKALKOEN;€ 12,50;2;4;6;8,7127E+12;€ 4,95;;;
50;KERSTSTRIK;€ 4,95;2;4;24;8,7127E+12;€ 2,45;;;
51;KERSTSJAAL;€ 9,95;2;4;24;8,7127E+12;€ 3,95;;;
52;FINISH VLAG ZWT/WIT;€ 12,95;2;4;60;8,7127E+12;€ 3,99;;;
53;RACEAUTO GO BLW;€ 14,95;2;4;60;8,7127E+12;€ 5,99;;;
54;CHAMPAGNEFLES groot;€ 12,50;2;4;12;8,7127E+12;€ 4,99;;;
55;CHAMPAGNEFLES klein;€ 7,95;2;4;12;8,7127E+12;€ 3,49;;;
56;RACEBANDEN;€ 5,95;2;4;36;8,7127E+12;€ 2,45;;;
57;RACE HOND MULTI;€ 12,95;2;4;24;8,7127E+12;€ 4,45;;;
58;Hondenparaplu;9.95;2;10;20;8,71827E+12;€ 7,80;;;
59;SIGAAR BRN hondenspeeltje;€ 5,95;2;4;16;8,7127E+12;€ 2,55;;;
60;BZ ACTION VOETBAL MET TOUW 19;€ 19,95;2;4;24;8,7127E+12;8,08;;;
61;POMP ACTION BASKETBAL+VOETBAL;€ 5,95;2;4;3;8,7127E+12;€ 2,65;;;
62;ACTION VOETBAL MET TOUW 12,5;14,95;2;4;24;8,7127E+12;€ 6,92;;;
63;FETCH BALLENSCHIETER;€ 29,95;2;4;6;8,7127E+12;€ 12,99;;;
64;FETCH TENNISBALWERPER;€ 5,95;2;4;12;8,7127E+12;€ 2,25;;;
65;Waterflesje incl statiegeld;€ 2,00;1;12;240;87936069715;€ 1,47;;;
66;Poop Bags Recycled;€ 2,00;2;16;64;5,06019E+12;€ 0,50;;;
67;Bamboo Dog Wipes, Unscented, 80 Pack;€ 9,95;2;16;12;5,06019E+12;€ 5,50;;;
68;Recycled Plastic Poop Bag Dispenser;€ 4,95;2;16;25;5,06019E+12;€ 2,15;;;
69;Denta Fun Duck Pretzel, los, ø 10 cm, 75 g;€ 2,99;2;15;50;4,01191E+12;€ 1,25;;;
70;Denta Fun Chicken Heart, los, 12 cm, 70 g;€ 2,19;2;15;50;4,01191E+12;€ 1,02;;;
71;Denta Fun Chicken Heart, los, 14 cm, 125 g;€ 4,49;2;15;25;4,05303E+12;€ 2,05;;;
72;Denta Fun Chewing Pie, los, ø 9 cm, 70 g;2,99;2;15;50;4,01191E+12;€ 1,25;;;
73;Denta Fun Chicken Pop met kippenlever, los, 13 cm, 50 g;1,49;2;15;50;4,01191E+12;€ 0,69;;;
74;Denta Fun Chicken Bread, los, 15 cm, 75 g;2,99;2;15;50;4,01191E+12;€ 1,25;;;
75;Denta Fun Chicken Croissant, los, 11 cm, 80 g;2,49;2;15;50;4,01191E+12;€ 1,15;;;
76;Denta Fun Mini Baguette, los, 13 cm, 70 g;2,49;2;15;50;4,01191E+12;€ 1,15;;;
77;Denta Fun Chicken Pop met sesam, los, 12 cm, 46 g;1,49;2;15;50;4,01191E+12;€ 0,69;;;
